set,n_graphs,signature,target,target_desc,determined,H_target,I_signature_target,H_target_given_signature
chem_n8,2391,deck:tri,n,order n,False,0.91807,0.460975,0.457095
chem_n8,2391,deck:tri,m,size m,True,2.999555,2.999555,0.0
chem_n8,2391,deck:tri,C,Sombor deletion correction C(G),False,8.917084,4.68938,4.227704
chem_n8,2391,deck:clique,ds,degree sequence of G,False,6.358748,3.31037,3.048379
chem_n8,2391,deck:clique,ds_sig,multiset of degree sequences of the cards,False,8.917921,3.807419,5.110502
chem_n8,2391,deck:clique,et,multiset of edge degree-types of G,False,8.917921,3.807419,5.110502
chem_n8,2391,deck:clique,so,Sombor index SO(G),False,8.917921,3.807419,5.110502
chem_n8,2391,deck:clique,dd,multiset {Delta_e},False,10.910835,4.665158,6.245676
chem_n8,2391,deck:clique,taus,number of spanning trees,False,7.991713,3.512734,4.478978
chem_n8,2391,deck:clique,tri,number of triangles,False,2.711663,1.741965,0.969698
chem_n8,2391,deck:clique,wiener,Wiener index,False,5.197528,1.914612,3.282916
chem_n8,2391,deck:clique,n,order n,False,0.91807,0.359651,0.558419
chem_n8,2391,deck:clique,m,size m,True,2.999555,2.999555,0.0
chem_n8,2391,deck:clique,C,Sombor deletion correction C(G),False,8.917084,3.806582,5.110502
chem_n8,2391,deck:chrom,ds,degree sequence of G,False,6.358748,3.353679,3.005069
chem_n8,2391,deck:chrom,ds_sig,multiset of degree sequences of the cards,False,8.917921,3.890555,5.027366
chem_n8,2391,deck:chrom,et,multiset of edge degree-types of G,False,8.917921,3.890555,5.027366
chem_n8,2391,deck:chrom,so,Sombor index SO(G),False,8.917921,3.890555,5.027366
chem_n8,2391,deck:chrom,dd,multiset {Delta_e},False,10.910835,4.718994,6.19184
chem_n8,2391,deck:chrom,taus,number of spanning trees,False,7.991713,3.550163,4.441549
chem_n8,2391,deck:chrom,tri,number of triangles,False,2.711663,1.301626,1.410037
chem_n8,2391,deck:chrom,wiener,Wiener index,False,5.197528,1.918281,3.279247
chem_n8,2391,deck:chrom,n,order n,False,0.91807,0.390097,0.527973
chem_n8,2391,deck:chrom,m,size m,True,2.999555,2.999555,0.0
chem_n8,2391,deck:chrom,C,Sombor deletion correction C(G),False,8.917084,3.889718,5.027366
chem_n8,2391,deck:girth,ds,degree sequence of G,False,6.358748,3.436597,2.922151
chem_n8,2391,deck:girth,ds_sig,multiset of degree sequences of the cards,False,8.917921,3.904776,5.013144
chem_n8,2391,deck:girth,et,multiset of edge degree-types of G,False,8.917921,3.904776,5.013144
chem_n8,2391,deck:girth,so,Sombor index SO(G),False,8.917921,3.904776,5.013144
chem_n8,2391,deck:girth,dd,multiset {Delta_e},False,10.910835,4.70516,6.205674
chem_n8,2391,deck:girth,taus,number of spanning trees,False,7.991713,3.595443,4.39627
chem_n8,2391,deck:girth,tri,number of triangles,False,2.711663,1.524894,1.186768
chem_n8,2391,deck:girth,wiener,Wiener index,False,5.197528,2.019867,3.177661
chem_n8,2391,deck:girth,n,order n,False,0.91807,0.434912,0.483158
chem_n8,2391,deck:girth,m,size m,True,2.999555,2.999555,0.0
chem_n8,2391,deck:girth,C,Sombor deletion correction C(G),False,8.917084,3.90394,5.013144
chem_n8,2391,deck:n_bridges,ds,degree sequence of G,False,6.358748,5.127738,1.231011
chem_n8,2391,deck:n_bridges,ds_sig,multiset of degree sequences of the cards,False,8.917921,6.221596,2.696324
chem_n8,2391,deck:n_bridges,et,multiset of edge degree-types of G,False,8.917921,6.221596,2.696324
chem_n8,2391,deck:n_bridges,so,Sombor index SO(G),False,8.917921,6.221596,2.696324
chem_n8,2391,deck:n_bridges,dd,multiset {Delta_e},False,10.910835,6.839168,4.071666
chem_n8,2391,deck:n_bridges,taus,number of spanning trees,False,7.991713,5.487597,2.504116
chem_n8,2391,deck:n_bridges,tri,number of triangles,False,2.711663,1.418404,1.293259
chem_n8,2391,deck:n_bridges,wiener,Wiener index,False,5.197528,2.934375,2.263152
chem_n8,2391,deck:n_bridges,n,order n,False,0.91807,0.785115,0.132955
chem_n8,2391,deck:n_bridges,m,size m,True,2.999555,2.999555,0.0
chem_n8,2391,deck:n_bridges,C,Sombor deletion correction C(G),False,8.917084,6.22076,2.696324
chem_n8,2391,deck:n_cut,ds,degree sequence of G,False,6.358748,5.742736,0.616012
chem_n8,2391,deck:n_cut,ds_sig,multiset of degree sequences of the cards,False,8.917921,7.318301,1.59962
chem_n8,2391,deck:n_cut,et,multiset of edge degree-types of G,False,8.917921,7.318301,1.59962
chem_n8,2391,deck:n_cut,so,Sombor index SO(G),False,8.917921,7.318301,1.59962
chem_n8,2391,deck:n_cut,dd,multiset {Delta_e},False,10.910835,8.347619,2.563216
chem_n8,2391,deck:n_cut,taus,number of spanning trees,False,7.991713,5.891078,2.100635
chem_n8,2391,deck:n_cut,tri,number of triangles,False,2.711663,1.651381,1.060282
chem_n8,2391,deck:n_cut,wiener,Wiener index,False,5.197528,3.849134,1.348393
chem_n8,2391,deck:n_cut,n,order n,False,0.91807,0.757672,0.160398
chem_n8,2391,deck:n_cut,m,size m,True,2.999555,2.999555,0.0
chem_n8,2391,deck:n_cut,C,Sombor deletion correction C(G),False,8.917084,7.317465,1.59962
chem_n8,2391,deck:diam,ds,degree sequence of G,False,6.358748,4.938546,1.420203
chem_n8,2391,deck:diam,ds_sig,multiset of degree sequences of the cards,False,8.917921,6.48722,2.430701
chem_n8,2391,deck:diam,et,multiset of edge degree-types of G,False,8.917921,6.48722,2.430701
chem_n8,2391,deck:diam,so,Sombor index SO(G),False,8.917921,6.48722,2.430701
chem_n8,2391,deck:diam,dd,multiset {Delta_e},False,10.910835,7.918569,2.992265
chem_n8,2391,deck:diam,taus,number of spanning trees,False,7.991713,5.251454,2.740259
chem_n8,2391,deck:diam,tri,number of triangles,False,2.711663,1.314637,1.397025
chem_n8,2391,deck:diam,wiener,Wiener index,False,5.197528,3.856892,1.340636
chem_n8,2391,deck:diam,n,order n,False,0.91807,0.797455,0.120615
chem_n8,2391,deck:diam,m,size m,True,2.999555,2.999555,0.0
chem_n8,2391,deck:diam,C,Sombor deletion correction C(G),False,8.917084,6.486384,2.430701
chem_n8,2391,deck:dist_dist,ds,degree sequence of G,False,6.358748,6.294434,0.064314
chem_n8,2391,deck:dist_dist,ds_sig,multiset of degree sequences of the cards,False,8.917921,8.829554,0.088366
chem_n8,2391,deck:dist_dist,et,multiset of edge degree-types of G,False,8.917921,8.829554,0.088366
chem_n8,2391,deck:dist_dist,so,Sombor index SO(G),False,8.917921,8.829554,0.088366
chem_n8,2391,deck:dist_dist,dd,multiset {Delta_e},False,10.910835,10.805423,0.105412
chem_n8,2391,deck:dist_dist,taus,number of spanning trees,False,7.991713,7.885465,0.106248
chem_n8,2391,deck:dist_dist,tri,number of triangles,False,2.711663,2.644524,0.067139
chem_n8,2391,deck:dist_dist,wiener,Wiener index,False,5.197528,5.196691,0.000836
chem_n8,2391,deck:dist_dist,n,order n,False,0.91807,0.917233,0.000836
chem_n8,2391,deck:dist_dist,m,size m,True,2.999555,2.999555,0.0
chem_n8,2391,deck:dist_dist,C,Sombor deletion correction C(G),False,8.917084,8.828718,0.088366
chem_n8,2391,deck:match_poly,ds,degree sequence of G,False,6.358748,6.357912,0.000836
chem_n8,2391,deck:match_poly,ds_sig,multiset of degree sequences of the cards,False,8.917921,8.917084,0.000836
chem_n8,2391,deck:match_poly,et,multiset of edge degree-types of G,False,8.917921,8.917084,0.000836
chem_n8,2391,deck:match_poly,so,Sombor index SO(G),False,8.917921,8.917084,0.000836
chem_n8,2391,deck:match_poly,dd,multiset {Delta_e},False,10.910835,10.909998,0.000836
chem_n8,2391,deck:match_poly,taus,number of spanning trees,False,7.991713,7.990876,0.000836
chem_n8,2391,deck:match_poly,tri,number of triangles,False,2.711663,2.710826,0.000836
chem_n8,2391,deck:match_poly,wiener,Wiener index,False,5.197528,5.196691,0.000836
chem_n8,2391,deck:match_poly,n,order n,False,0.91807,0.917233,0.000836
chem_n8,2391,deck:match_poly,m,size m,True,2.999555,2.999555,0.0
chem_n8,2391,deck:match_poly,C,Sombor deletion correction C(G),False,8.917084,8.916248,0.000836
chem_n8,2391,deck:taus,ds,degree sequence of G,False,6.358748,5.444355,0.914393
chem_n8,2391,deck:taus,ds_sig,multiset of degree sequences of the cards,False,8.917921,7.418402,1.499519
chem_n8,2391,deck:taus,et,multiset of edge degree-types of G,False,8.917921,7.418402,1.499519
chem_n8,2391,deck:taus,so,Sombor index SO(G),False,8.917921,7.418402,1.499519
chem_n8,2391,deck:taus,dd,multiset {Delta_e},False,10.910835,9.303079,1.607756
chem_n8,2391,deck:taus,taus,number of spanning trees,True,7.991713,7.991713,0.0
chem_n8,2391,deck:taus,tri,number of triangles,False,2.711663,2.709153,0.002509
chem_n8,2391,deck:taus,wiener,Wiener index,False,5.197528,4.035728,1.1618
chem_n8,2391,deck:taus,n,order n,True,0.91807,0.91807,0.0
chem_n8,2391,deck:taus,m,size m,True,2.999555,2.999555,0.0
chem_n8,2391,deck:taus,C,Sombor deletion correction C(G),False,8.917084,7.417565,1.499519
chem_n8,2391,deck:sombor,ds,degree sequence of G,False,6.358748,6.357912,0.000836
chem_n8,2391,deck:sombor,ds_sig,multiset of degree sequences of the cards,False,8.917921,8.917084,0.000836
chem_n8,2391,deck:sombor,et,multiset of edge degree-types of G,False,8.917921,8.917084,0.000836
chem_n8,2391,deck:sombor,so,Sombor index SO(G),False,8.917921,8.917084,0.000836
chem_n8,2391,deck:sombor,dd,multiset {Delta_e},False,10.910835,10.909998,0.000836
