set,source,n,classes,resolved,collision_graphs,collision_rate,largest_class,residual_bits,identity_bits
chemp_n8,graph:lap_charpoly,2088,1935,False,288,0.13793103448275862,4,0.15376372127680152,11.027905996569885
chemp_n8,graph:energy,2088,1910,False,324,0.15517241379310345,5,0.18405988074336363,11.027905996569885
chemp_n8,graph:spectral_radius,2088,1710,False,583,0.2792145593869732,17,0.4918538655910312,11.027905996569885
chemp_n8,graph:wiener,2088,78,False,2072,0.9923371647509579,139,5.834710580966715,11.027905996569885
conn_n9,deck:itself,273193,273193,True,0,0.0,1,0.0,18.059560992491367
conn_n9,deck:n,273193,9,False,273191,0.9999926791682071,261080,17.776821624230397,18.059560992491367
conn_n9,deck:m,273193,4333,False,272235,0.996493321571197,3020,8.361049188214299,18.059560992491367
conn_n9,deck:deg_seq,273193,172998,False,150394,0.5505045883313262,52,1.0100846195705349,18.059560992491367
conn_n9,deck:edge_types,273193,271655,False,3044,0.011142305988806448,3,0.011347861768307484,18.059560992491367
conn_n9,deck:comp_sizes,273193,597,False,272855,0.9987627794269985,194066,16.374822084902082,18.059560992491367
conn_n9,deck:n_comp,273193,121,False,273159,0.9998755458595205,194066,16.575715723727722,18.059560992491367
conn_n9,deck:max_deg,273193,162,False,273169,0.9999121500184851,41743,13.425379214101644,18.059560992491367
conn_n9,deck:min_deg,273193,176,False,273149,0.999838941700556,43616,13.547766884339143,18.059560992491367
conn_n9,deck:n_leaves,273193,870,False,272995,0.999275237652502,84242,14.144355736534079,18.059560992491367
conn_n9,deck:tri,273193,31303,False,258048,0.9445630012482018,3863,6.001573506626613,18.059560992491367
conn_n9,deck:clique,273193,92,False,273170,0.9999158104343816,70953,14.644317112589592,18.059560992491367
conn_n9,deck:indep,273193,83,False,273170,0.9999158104343816,74196,14.713771379200685,18.059560992491367
conn_n9,deck:chrom,273193,124,False,273163,0.9998901875231063,64256,14.37393579833851,18.059560992491367
conn_n9,deck:girth,273193,242,False,273121,0.9997364500554553,236118,16.997401102436946,18.059560992491367
conn_n9,deck:n_bridges,273193,2726,False,272581,0.9977598254713701,83635,13.437186192340752,18.059560992491367
conn_n9,deck:n_cut,273193,1268,False,272743,0.9983528128465956,80890,13.828842975822594,18.059560992491367
conn_n9,deck:bipartite,273193,44,False,273184,0.9999670562569319,243535,17.2890551111958,18.059560992491367
conn_n9,deck:forest,273193,47,False,273183,0.9999633958410354,257571,17.63627284698885,18.059560992491367
conn_n9,deck:biconnected,273193,42,False,273187,0.9999780375046212,80890,15.200879185918593,18.059560992491367
conn_n9,deck:diam,273193,553,False,273077,0.9995753917560113,44394,13.32203401438563,18.059560992491367
conn_n9,deck:ecc_seq,273193,25779,False,262382,0.9604272437434341,5355,6.936068836430864,18.059560992491367
conn_n9,deck:dist_dist,273193,154962,False,148712,0.5443477687934903,504,1.7837785508617188,18.059560992491367
conn_n9,deck:max_match,273193,53,False,273183,0.9999633958410354,184036,16.231825056779122,18.059560992491367
conn_n9,deck:match_poly,273193,272844,False,698,0.002554970295725,2,0.002554970295725003,18.059560992491367
conn_n9,deck:n_perfect_match,273193,78258,False,227188,0.8316025666836266,11117,3.7061055583676334,18.059560992491367
conn_n9,deck:taus,273193,267985,False,8893,0.032552078567166805,19,0.04534358193275453,18.059560992491367
conn_n9,deck:sombor,273193,271655,False,3044,0.011142305988806448,3,0.011347861768307484,18.059560992491367
conn_n9,deck:sombor_inv,273193,271653,False,3048,0.011156947652392266,3,0.011362503431893302,18.059560992491367
conn_n9,deck:sombor_sq,273193,172078,False,151424,0.5542748167046739,52,1.0213291569191212,18.059560992491367
conn_n9,deck:sombor_red,273193,271654,False,3046,0.011149626820599357,3,0.011355182600100393,18.059560992491367
conn_n9,deck:randic,273193,271653,False,3048,0.011156947652392266,3,0.011362503431893302,18.059560992491367
conn_n9,deck:abc,273193,271650,False,3054,0.01117891014777099,3,0.011384465927272028,18.059560992491367
conn_n9,deck:m1,273193,162715,False,160547,0.5876687909280253,59,1.1579840426974786,18.059560992491367
conn_n9,deck:m2,273193,271646,False,3062,0.011208193474942623,3,0.011413749254443663,18.059560992491367
conn_n9,deck:forgotten,273193,172078,False,151424,0.5542748167046739,52,1.0213291569191212,18.059560992491367
conn_n9,deck:harmonic,273193,271653,False,3048,0.011156947652392266,3,0.011362503431893302,18.059560992491367
conn_n9,deck:ga,273193,271653,False,3048,0.011156947652392266,3,0.011362503431893302,18.059560992491367
conn_n9,deck:sum_conn,273193,271655,False,3044,0.011142305988806448,3,0.011347861768307484,18.059560992491367
conn_n9,deck:isi,273193,271655,False,3044,0.011142305988806448,3,0.011347861768307484,18.059560992491367
conn_n9,deck:az,273193,271650,False,3054,0.01117891014777099,3,0.011384465927272028,18.059560992491367
conn_n9,deck:adj_spec,273193,273193,True,0,0.0,1,0.0,18.059560992491367
conn_n9,deck:lap_spec,273193,273193,True,0,0.0,1,0.0,18.059560992491367
conn_n9,deck:q_spec,273193,273193,True,0,0.0,1,0.0,18.059560992491367
conn_n9,deck:adj_charpoly,273193,273193,True,0,0.0,1,0.0,18.059560992491367
conn_n9,deck:lap_charpoly,273193,273193,True,0,0.0,1,0.0,18.059560992491367
conn_n9,deck:energy,273193,273193,True,0,0.0,1,0.0,18.059560992491367
conn_n9,deck:spectral_radius,273193,273193,True,0,0.0,1,0.0,18.059560992491367
conn_n9,deck:wiener,273193,125335,False,180836,0.6619349690511835,504,2.311064259499495,18.059560992491367
conn_n9,graph:n,273193,9,False,273191,0.9999926791682071,261080,17.776821624230397,18.059560992491367
conn_n9,graph:m,273193,37,False,273188,0.9999816979205177,34029,14.325672288194587,18.059560992491367
conn_n9,graph:deg_seq,273193,4333,False,272235,0.996493321571197,3020,8.361049188214299,18.059560992491367
conn_n9,graph:edge_types,273193,54970,False,250654,0.9174978861098197,310,3.5286684933537016,18.059560992491367
conn_n9,graph:comp_sizes,273193,9,False,273191,0.9999926791682071,261080,17.776821624230397,18.059560992491367
conn_n9,graph:n_comp,273193,1,False,273193,1.0,273193,18.059560992491367,18.059560992491367
conn_n9,graph:max_deg,273193,9,False,273191,0.9999926791682071,113466,16.09629623698544,18.059560992491367
conn_n9,graph:min_deg,273193,9,False,273191,0.9999926791682071,118793,16.27017595469644,18.059560992491367
conn_n9,graph:n_leaves,273193,9,False,273192,0.9999963395841035,205798,17.029455543186298,18.059560992491367
conn_n9,graph:tri,273193,70,False,273185,0.9999707166728283,19856,13.489849104183776,18.059560992491367
conn_n9,graph:clique,273193,9,False,273191,0.9999926791682071,141876,16.604278652097697,18.059560992491367
conn_n9,graph:indep,273193,8,False,273192,0.9999963395841035,140090,16.644671490743647,18.059560992491367
conn_n9,graph:chrom,273193,9,False,273191,0.9999926791682071,154872,16.64187565067755,18.059560992491367
conn_n9,graph:girth,273193,8,False,273192,0.9999963395841035,271456,17.999211520167464,18.059560992491367
conn_n9,graph:n_bridges,273193,9,False,273193,1.0,205423,16.975576259382954,18.059560992491367
conn_n9,graph:n_cut,273193,8,False,273192,0.9999963395841035,201729,16.97485796781546,18.059560992491367
conn_n9,graph:bipartite,273193,2,False,273193,1.0,272209,18.025137614240528,18.059560992491367
conn_n9,graph:forest,273193,2,False,273193,1.0,273098,18.055063973139777,18.059560992491367
conn_n9,graph:biconnected,273193,2,False,273193,1.0,201727,17.230416845845102,18.059560992491367
conn_n9,graph:diam,273193,9,False,273191,0.9999926791682071,154462,16.72470646299502,18.059560992491367
conn_n9,graph:ecc_seq,273193,159,False,273165,0.9998975083548993,79173,14.610331749228695,18.059560992491367
conn_n9,graph:dist_dist,273193,1418,False,272738,0.9983345107671133,15665,11.760038302556138,18.059560992491367
conn_n9,graph:max_match,273193,5,False,273192,0.9999963395841035,269860,17.9612540782815,18.059560992491367
conn_n9,graph:match_poly,273193,24282,False,267735,0.9800214500371532,190,4.5869360739161325,18.059560992491367
conn_n9,graph:n_perfect_match,273193,64,False,273180,0.999952414593346,262795,17.663573031681075,18.059560992491367
conn_n9,graph:taus,273193,55784,False,248161,0.9083724692799596,382,3.6902768764709415,18.059560992491367
conn_n9,graph:sombor,273193,54960,False,250662,0.9175271694369914,310,3.528963110488896,18.059560992491367
conn_n9,graph:sombor_inv,273193,50583,False,252521,0.9243318825884997,357,3.7780644404333517,18.059560992491367
conn_n9,graph:sombor_sq,273193,1234,False,273088,0.9996156563308723,3397,9.182947571176326,18.059560992491367
conn_n9,graph:sombor_red,273193,54584,False,250848,0.9182080067937319,310,3.5452665437161777,18.059560992491367
conn_n9,graph:randic,273193,50101,False,252821,0.925430007357436,357,3.7919291721123347,18.059560992491367
conn_n9,graph:abc,273193,54552,False,250978,0.918683860860271,310,3.5372696804099975,18.059560992491367
conn_n9,graph:m1,273193,234,False,273172,0.9999231312661745,5001,11.349570883032287,18.059560992491367
conn_n9,graph:m2,273193,1360,False,273039,0.999436295951946,938,8.698442702994049,18.059560992491367
conn_n9,graph:forgotten,273193,1234,False,273088,0.9996156563308723,3397,9.182947571176326,18.059560992491367
conn_n9,graph:harmonic,273193,18850,False,267274,0.9783339983088879,496,5.663336832009608,18.059560992491367
conn_n9,graph:ga,273193,53694,False,251295,0.9198442126994469,310,3.579549920889301,18.059560992491367
conn_n9,graph:sum_conn,273193,43638,False,256817,0.9400570292796667,310,3.978948700542577,18.059560992491367
conn_n9,graph:isi,273193,49449,False,254510,0.931612449806547,310,3.682470631867749,18.059560992491367
conn_n9,graph:az,273193,54625,False,250945,0.9185630671356879,310,3.5355892511673925,18.059560992491367
conn_n9,graph:adj_spec,273193,247450,False,48348,0.1769737877617655,10,0.19879090513974235,18.059560992491367
conn_n9,graph:lap_spec,273193,250494,False,42286,0.1547843465974604,9,0.17646842531309895,18.059560992491367
conn_n9,graph:q_spec,273193,263455,False,18766,0.06869136471285868,5,0.07343603938260544,18.059560992491367
conn_n9,graph:adj_charpoly,273193,247450,False,48348,0.1769737877617655,10,0.19879090513974235,18.059560992491367
conn_n9,graph:lap_charpoly,273193,250492,False,42290,0.1547989882610462,9,0.17648306697668478,18.059560992491367
conn_n9,graph:energy,273193,244385,False,53106,0.19439004659709436,42,0.2279906804832076,18.059560992491367
conn_n9,graph:spectral_radius,273193,237070,False,62391,0.2283770081956712,128,0.3185978471156835,18.059560992491367
conn_n9,graph:wiener,273193,111,False,273179,0.9999487541774497,22163,13.41442678899551,18.059560992491367
chem_n9,deck:itself,14598,14598,True,0,0.0,1,0.0,13.833483105659585
chem_n9,deck:n,14598,9,False,14596,0.9998629949308124,12207,13.03981404758072,13.833483105659585
chem_n9,deck:m,14598,300,False,14536,0.9957528428551856,765,7.455247618320381,13.833483105659585
chem_n9,deck:deg_seq,14598,6653,False,10780,0.7384573229209481,48,1.7088225048866297,13.833483105659585
chem_n9,deck:edge_types,14598,14334,False,519,0.035552815454171806,3,0.03663474363059822,13.833483105659585
chem_n9,deck:comp_sizes,14598,433,False,14358,0.9835593916974928,5096,9.854709245067653,13.833483105659585
chem_n9,deck:n_comp,14598,91,False,14576,0.9984929442389369,5096,10.676648039137268,13.833483105659585
chem_n9,deck:max_deg,14598,75,False,14580,0.998766954377312,2831,10.21802436956772,13.833483105659585
chem_n9,deck:min_deg,14598,98,False,14577,0.9985614467735306,3189,9.525411615275198,13.833483105659585
chem_n9,deck:n_leaves,14598,649,False,14405,0.9867790108234005,1294,7.160943626625569,13.833483105659585
chem_n9,deck:tri,14598,203,False,14568,0.9979449239621866,1909,8.617855097689517,13.833483105659585
chem_n9,deck:clique,14598,47,False,14587,0.9992464721194684,5385,10.74711356802384,13.833483105659585
chem_n9,deck:indep,14598,61,False,14585,0.9991094670502808,2412,9.986731220236031,13.833483105659585
chem_n9,deck:chrom,14598,66,False,14582,0.9989039594464996,6841,10.82914606247741,13.833483105659585
chem_n9,deck:girth,14598,242,False,14524,0.9949308124400603,6058,9.867467525653147,13.833483105659585
chem_n9,deck:n_bridges,14598,1943,False,13926,0.9539662967529798,1041,5.250400937308197,13.833483105659585
chem_n9,deck:n_cut,14598,1119,False,14204,0.9730100013700507,1026,5.995193212988385,13.833483105659585
chem_n9,deck:bipartite,14598,44,False,14589,0.9993834771886559,7725,11.265111619287005,13.833483105659585
chem_n9,deck:forest,14598,47,False,14588,0.9993149746540622,10976,12.277731673456865,13.833483105659585
chem_n9,deck:biconnected,14598,42,False,14592,0.9995889847924373,4026,10.403488226773245,13.833483105659585
chem_n9,deck:diam,14598,457,False,14506,0.9936977668173722,1124,7.1772477269008395,13.833483105659585
chem_n9,deck:ecc_seq,14598,8664,False,9105,0.6237155774763666,30,1.0763175387919628,13.833483105659585
chem_n9,deck:dist_dist,14598,14092,False,933,0.06391286477599671,6,0.0742038853653607,13.833483105659585
