g6,n,m,W,sum_cards_W,naive_(m-1)W,ratio
GCffN{,8,17,39.0,688.0,624.0,1.102564
GCffbW,8,14,42.0,618.0,546.0,1.131868
GCffb[,8,15,41.0,642.0,574.0,1.118467
GCffbg,8,14,44.0,638.0,572.0,1.115385
GCffbk,8,15,43.0,665.0,602.0,1.104651
GCffbo,8,14,42.0,617.0,546.0,1.130037
GCffbs,8,15,41.0,641.0,574.0,1.116725
GCffbw,8,15,41.0,637.0,574.0,1.109756
GCffb{,8,16,40.0,661.0,600.0,1.101667
GCffc{,8,15,43.0,668.0,602.0,1.109635
GCffeo,8,14,44.0,644.0,572.0,1.125874
GCffes,8,15,42.0,659.0,588.0,1.120748
GCffew,8,15,42.0,654.0,588.0,1.112245
GCffe{,8,16,41.0,678.0,615.0,1.102439
GCfffG,8,14,44.0,644.0,572.0,1.125874
GCfffK,8,15,43.0,670.0,602.0,1.112957
GCfffS,8,15,41.0,645.0,574.0,1.123693
GCfffW,8,15,41.0,642.0,574.0,1.118467
GCfff[,8,16,40.0,666.0,600.0,1.11
GCfffc,8,15,43.0,668.0,602.0,1.109635
GCfffg,8,15,43.0,664.0,602.0,1.10299
GCfffk,8,16,42.0,690.0,630.0,1.095238
GCfffo,8,15,41.0,645.0,574.0,1.123693
GCfffs,8,16,40.0,667.0,600.0,1.111667
GCfffw,8,16,40.0,662.0,600.0,1.103333
GCfff{,8,17,39.0,684.0,624.0,1.096154
GCffjw,8,16,40.0,660.0,600.0,1.1
GCffj{,8,17,39.0,684.0,624.0,1.096154
GCffmw,8,16,41.0,678.0,615.0,1.102439
GCffm{,8,17,40.0,701.0,640.0,1.095312
GCffnW,8,16,40.0,664.0,600.0,1.106667
GCffn[,8,17,39.0,688.0,624.0,1.102564
GCffng,8,16,42.0,690.0,630.0,1.095238
GCffnk,8,17,41.0,716.0,656.0,1.091463
GCffnw,8,17,39.0,684.0,624.0,1.096154
GCffn{,8,18,38.0,706.0,646.0,1.092879
GCffrw,8,16,40.0,659.0,600.0,1.098333
GCffr{,8,17,39.0,681.0,624.0,1.091346
GCffuw,8,16,40.0,665.0,600.0,1.108333
GCffu{,8,17,39.0,686.0,624.0,1.099359
GCffvg,8,16,40.0,664.0,600.0,1.106667
GCffvk,8,17,39.0,686.0,624.0,1.099359
GCffvo,8,16,40.0,667.0,600.0,1.111667
GCffvs,8,17,39.0,687.0,624.0,1.100962
GCffvw,8,17,39.0,682.0,624.0,1.092949
GCffv{,8,18,38.0,702.0,646.0,1.086687
GCff~w,8,18,38.0,702.0,646.0,1.086687
GCff~{,8,19,37.0,722.0,666.0,1.084084
GCfuto,8,15,43.0,672.0,602.0,1.116279
GCfuts,8,16,40.0,670.0,600.0,1.116667
GCfutw,8,16,41.0,683.0,615.0,1.110569
GCfut{,8,17,39.0,690.0,624.0,1.105769
GCfuuo,8,15,44.0,665.0,616.0,1.079545
GCfuus,8,16,43.0,692.0,645.0,1.072868
GCfuuw,8,16,42.0,677.0,630.0,1.074603
GCfuu{,8,17,41.0,702.0,656.0,1.070122
GCfuvW,8,16,41.0,677.0,615.0,1.100813
GCfuv[,8,17,39.0,686.0,624.0,1.099359
GCfuvg,8,16,42.0,691.0,630.0,1.096825
GCfuvk,8,17,40.0,701.0,640.0,1.095312
GCfuvo,8,16,41.0,679.0,615.0,1.104065
GCfuvs,8,17,39.0,687.0,624.0,1.100962
GCfuvw,8,17,40.0,700.0,640.0,1.09375
GCfuv{,8,18,38.0,706.0,646.0,1.092879
GCfu|w,8,17,39.0,690.0,624.0,1.105769
GCfu|{,8,18,38.0,708.0,646.0,1.095975
GCfu}w,8,17,40.0,687.0,640.0,1.073438
GCfu}{,8,18,39.0,710.0,663.0,1.07089
GCfu~w,8,18,38.0,706.0,646.0,1.092879
GCfu~{,8,19,37.0,724.0,666.0,1.087087
GCfvRo,8,15,41.0,636.0,574.0,1.108014
GCfvRw,8,16,40.0,658.0,600.0,1.096667
GCfvR{,8,17,39.0,680.0,624.0,1.089744
GCfvUo,8,15,42.0,654.0,588.0,1.112245
GCfvUw,8,16,40.0,665.0,600.0,1.108333
GCfvU{,8,17,39.0,686.0,624.0,1.099359
GCfvVg,8,16,40.0,662.0,600.0,1.103333
GCfvVk,8,17,39.0,684.0,624.0,1.096154
GCfvVo,8,16,40.0,662.0,600.0,1.103333
GCfvVw,8,17,39.0,682.0,624.0,1.092949
GCfvV{,8,18,38.0,702.0,646.0,1.086687
GCfvZ{,8,18,38.0,702.0,646.0,1.086687
GCfv]{,8,18,38.0,706.0,646.0,1.092879
GCfv^{,8,19,37.0,722.0,666.0,1.084084
GCfveo,8,15,43.0,667.0,602.0,1.107973
GCfvew,8,16,41.0,679.0,615.0,1.104065
GCfve{,8,17,40.0,701.0,640.0,1.095312
GCfvfO,8,15,41.0,640.0,574.0,1.114983
GCfvfW,8,16,40.0,662.0,600.0,1.103333
GCfvf[,8,17,39.0,684.0,624.0,1.096154
GCfvfg,8,16,42.0,690.0,630.0,1.095238
GCfvfk,8,17,41.0,714.0,656.0,1.088415
GCfvfo,8,16,40.0,666.0,600.0,1.11
GCfvfw,8,17,39.0,686.0,624.0,1.099359
GCfvf{,8,18,38.0,706.0,646.0,1.092879
GCfvm{,8,18,39.0,722.0,663.0,1.088989
GCfvn[,8,18,38.0,706.0,646.0,1.092879
GCfvnk,8,18,40.0,738.0,680.0,1.085294
GCfvn{,8,19,37.0,726.0,666.0,1.09009
GCfvuw,8,17,39.0,687.0,624.0,1.100962
GCfvu{,8,18,38.0,706.0,646.0,1.092879
GCfvvW,8,17,39.0,682.0,624.0,1.092949
GCfvv[,8,18,38.0,702.0,646.0,1.086687
GCfvvg,8,17,39.0,686.0,624.0,1.099359
GCfvvk,8,18,38.0,706.0,646.0,1.092879
GCfvvo,8,17,39.0,686.0,624.0,1.099359
GCfvvs,8,18,38.0,704.0,646.0,1.089783
GCfvvw,8,18,38.0,704.0,646.0,1.089783
GCfvv{,8,19,37.0,722.0,666.0,1.084084
GCfv~w,8,19,37.0,722.0,666.0,1.084084
GCfv~{,8,20,36.0,740.0,684.0,1.081871
GCf~vo,8,18,38.0,708.0,646.0,1.095975
GCf~vw,8,19,37.0,724.0,666.0,1.087087
GCf~v{,8,20,36.0,740.0,684.0,1.081871
GCf~~{,8,21,35.0,756.0,700.0,1.08
GCpUuW,8,13,29.0,391.0,348.0,1.123563
GCpUu[,8,14,28.0,407.0,364.0,1.118132
GCpUuk,8,14,28.0,408.0,364.0,1.120879
GCpUus,8,14,28.0,412.0,364.0,1.131868
GCpUuw,8,14,28.0,406.0,364.0,1.115385
GCpUu{,8,15,27.0,420.0,378.0,1.111111
GCpUvW,8,14,44.0,619.0,572.0,1.082168
GCpUv[,8,15,42.0,636.0,588.0,1.081633
GCpUvg,8,14,44.0,620.0,572.0,1.083916
GCpUvk,8,15,42.0,637.0,588.0,1.083333
GCpUvo,8,14,44.0,624.0,572.0,1.090909
GCpUvs,8,15,42.0,641.0,588.0,1.090136
GCpUvw,8,15,42.0,635.0,588.0,1.079932
GCpUv{,8,16,40.0,648.0,600.0,1.08
GCpU}w,8,15,27.0,420.0,378.0,1.111111
GCpU}{,8,16,26.0,432.0,390.0,1.107692
GCpU~w,8,16,41.0,662.0,615.0,1.076423
GCpU~{,8,17,39.0,672.0,624.0,1.076923
GCpVSw,8,13,46.0,608.0,552.0,1.101449
GCpVS{,8,14,44.0,621.0,572.0,1.085664
GCpVTg,8,13,43.0,598.0,516.0,1.158915
GCpVTk,8,14,42.0,617.0,546.0,1.130037
GCpVTo,8,13,44.0,609.0,528.0,1.153409
GCpVTs,8,14,43.0,634.0,559.0,1.134168
GCpVTw,8,14,42.0,617.0,546.0,1.130037
GCpVT{,8,15,41.0,639.0,574.0,1.11324
GCpVUg,8,13,46.0,609.0,552.0,1.103261
GCpVUk,8,14,44.0,622.0,572.0,1.087413
GCpVUs,8,14,44.0,628.0,572.0,1.097902
GCpVUw,8,14,45.0,638.0,585.0,1.090598
GCpVU{,8,15,43.0,648.0,602.0,1.076412
GCpVVO,8,13,45.0,624.0,540.0,1.155556
GCpVVS,8,14,44.0,654.0,572.0,1.143357
GCpVVg,8,14,42.0,618.0,546.0,1.131868
GCpVVk,8,15,41.0,640.0,574.0,1.114983
GCpVVo,8,14,43.0,630.0,559.0,1.127013
GCpVVs,8,15,42.0,655.0,588.0,1.113946
GCpVVw,8,15,41.0,640.0,574.0,1.114983
GCpVV{,8,16,40.0,660.0,600.0,1.1
GCpVbW,8,13,43.0,593.0,516.0,1.149225
GCpVb[,8,14,42.0,616.0,546.0,1.128205
GCpVcw,8,13,46.0,601.0,552.0,1.088768
GCpVc{,8,14,44.0,622.0,572.0,1.087413
GCpVdW,8,13,43.0,589.0,516.0,1.141473
GCpVd[,8,14,42.0,617.0,546.0,1.130037
GCpVdo,8,13,44.0,603.0,528.0,1.142045
GCpVds,8,14,43.0,630.0,559.0,1.127013
GCpVdw,8,14,42.0,613.0,546.0,1.122711
GCpVd{,8,15,41.0,639.0,574.0,1.11324
GCpVe[,8,14,44.0,621.0,572.0,1.085664
GCpVes,8,14,44.0,624.0,572.0,1.090909
GCpVew,8,14,45.0,632.0,585.0,1.080342
GCpVe{,8,15,43.0,648.0,602.0,1.076412
GCpVfG,8,13,44.0,600.0,528.0,1.136364
GCpVfK,8,14,43.0,627.0,559.0,1.121646
GCpVfS,8,14,43.0,630.0,559.0,1.127013
GCpVfW,8,14,42.0,614.0,546.0,1.124542
GCpVf[,8,15,41.0,639.0,574.0,1.11324
GCpVfc,8,14,44.0,640.0,572.0,1.118881
GCpVfo,8,14,43.0,627.0,559.0,1.121646
GCpVfs,8,15,42.0,653.0,588.0,1.110544
GCpVfw,8,15,41.0,637.0,574.0,1.109756
GCpVf{,8,16,40.0,660.0,600.0,1.1
GCpVuw,8,15,43.0,648.0,602.0,1.076412
GCpVu{,8,16,41.0,662.0,615.0,1.076423
GCpVvW,8,15,41.0,637.0,574.0,1.109756
GCpVv[,8,16,40.0,661.0,600.0,1.101667
GCpVvg,8,15,41.0,638.0,574.0,1.111498
GCpVvk,8,16,40.0,662.0,600.0,1.103333
GCpVvo,8,15,42.0,653.0,588.0,1.110544
GCpVvs,8,16,41.0,678.0,615.0,1.102439
GCpVvw,8,16,40.0,660.0,600.0,1.1
GCpVv{,8,17,39.0,682.0,624.0,1.092949
GCpV~w,8,17,39.0,682.0,624.0,1.092949
GCpV~{,8,18,38.0,702.0,646.0,1.086687
GCp`eg,8,11,49.0,588.0,490.0,1.2
GCp`eo,8,11,52.0,631.0,520.0,1.213462
GCp`fW,8,12,48.0,616.0,528.0,1.166667
GCp`fg,8,12,47.0,599.0,517.0,1.158607
GCp`fo,8,12,48.0,607.0,528.0,1.149621
GCp`fw,8,13,45.0,614.0,540.0,1.137037
GCp`f{,8,14,42.0,616.0,546.0,1.128205
GCpbPw,8,12,48.0,606.0,528.0,1.147727
GCpbQs,8,12,48.0,622.0,528.0,1.17803
GCpbR[,8,13,52.0,641.0,624.0,1.027244
GCpbRk,8,13,45.0,626.0,540.0,1.159259
GCpbRs,8,13,46.0,633.0,552.0,1.146739
GCpbRw,8,13,46.0,628.0,552.0,1.137681
GCpbR{,8,14,44.0,647.0,572.0,1.131119
GCpbTW,8,12,48.0,590.0,528.0,1.117424
GCpbTg,8,12,46.0,593.0,506.0,1.171937
GCpbTo,8,12,48.0,611.0,528.0,1.157197
GCpbTw,8,13,45.0,612.0,540.0,1.133333
GCpbUs,8,13,47.0,647.0,564.0,1.147163
GCpbUw,8,13,46.0,628.0,552.0,1.137681
GCpbVK,8,13,47.0,624.0,564.0,1.106383
GCpbVS,8,13,49.0,641.0,588.0,1.090136
GCpbVW,8,13,47.0,621.0,564.0,1.101064
GCpbV[,8,14,46.0,650.0,598.0,1.086957
GCpbVc,8,13,45.0,616.0,540.0,1.140741
GCpbVg,8,13,44.0,605.0,528.0,1.145833
GCpbVk,8,14,42.0,621.0,546.0,1.137363
GCpbVo,8,13,46.0,627.0,552.0,1.13587
GCpbVs,8,14,44.0,643.0,572.0,1.124126
GCpbVw,8,14,43.0,629.0,559.0,1.125224
GCpbV{,8,15,41.0,642.0,574.0,1.118467
GCpb`w,8,12,46.0,585.0,506.0,1.156126
GCpbas,8,12,48.0,613.0,528.0,1.160985
GCpbaw,8,12,47.0,598.0,517.0,1.156673
GCpbbk,8,13,46.0,636.0,552.0,1.152174
GCpbbs,8,13,46.0,626.0,552.0,1.134058
GCpbbw,8,13,45.0,614.0,540.0,1.137037
GCpbb{,8,14,44.0,640.0,572.0,1.118881
GCpbdg,8,12,45.0,582.0,495.0,1.175758
GCpbdo,8,12,46.0,590.0,506.0,1.166008
GCpbdw,8,13,43.0,593.0,516.0,1.149225
GCpbes,8,13,47.0,639.0,564.0,1.132979
GCpbew,8,13,45.0,614.0,540.0,1.137037
GCpbfK,8,13,45.0,617.0,540.0,1.142593
GCpbfS,8,13,45.0,615.0,540.0,1.138889
GCpbfW,8,13,44.0,609.0,528.0,1.153409
GCpbfc,8,13,46.0,625.0,552.0,1.132246
GCpbfg,8,13,44.0,604.0,528.0,1.143939
GCpbfk,8,14,43.0,630.0,559.0,1.127013
GCpbfo,8,13,45.0,614.0,540.0,1.137037
GCpbfs,8,14,44.0,638.0,572.0,1.115385
GCpbfw,8,14,42.0,617.0,546.0,1.130037
GCpbf{,8,15,41.0,638.0,574.0,1.111498
GCpbrs,8,14,45.0,655.0,585.0,1.119658
GCpbvW,8,14,43.0,629.0,559.0,1.125224
GCpbv[,8,15,42.0,655.0,588.0,1.113946
GCpbvg,8,14,42.0,615.0,546.0,1.126374
GCpbvk,8,15,41.0,641.0,574.0,1.116725
GCpbvo,8,14,44.0,639.0,572.0,1.117133
GCpbvs,8,15,43.0,666.0,602.0,1.106312
GCpbvw,8,15,41.0,638.0,574.0,1.111498
GCpbv{,8,16,40.0,662.0,600.0,1.103333
GCpcrG,8,11,62.0,660.0,620.0,1.064516
GCpcrO,8,11,55.0,649.0,550.0,1.18
GCpcrW,8,12,54.0,682.0,594.0,1.148148
GCpcr_,8,11,51.0,616.0,510.0,1.207843
GCpcrg,8,12,49.0,633.0,539.0,1.174397
GCpcro,8,12,49.0,627.0,539.0,1.163265
GCpcrw,8,13,47.0,641.0,564.0,1.136525
GCpcss,8,12,60.0,632.0,660.0,0.957576
GCpcs{,8,13,48.0,644.0,576.0,1.118056
GCpct[,8,13,46.0,632.0,552.0,1.144928
GCpctk,8,13,45.0,625.0,540.0,1.157407
GCpcto,8,12,49.0,640.0,539.0,1.187384
GCpcts,8,13,47.0,662.0,564.0,1.173759
GCpctw,8,13,46.0,631.0,552.0,1.143116
GCpct{,8,14,43.0,638.0,559.0,1.141324
GCpcu[,8,13,50.0,656.0,600.0,1.093333
GCpcuk,8,13,47.0,627.0,564.0,1.111702
GCpcuo,8,12,55.0,631.0,605.0,1.042975
GCpcus,8,13,54.0,668.0,648.0,1.030864
GCpcuw,8,13,49.0,645.0,588.0,1.096939
GCpcu{,8,14,46.0,656.0,598.0,1.09699
GCpcvG,8,12,50.0,638.0,550.0,1.16
GCpcvK,8,13,47.0,637.0,564.0,1.129433
GCpcvO,8,12,51.0,646.0,561.0,1.151515
GCpcvS,8,13,49.0,665.0,588.0,1.130952
GCpcvW,8,13,48.0,654.0,576.0,1.135417
GCpcv[,8,14,45.0,656.0,585.0,1.121368
GCpcv_,8,12,49.0,624.0,539.0,1.157699
GCpcvc,8,13,47.0,645.0,564.0,1.143617
GCpcvg,8,13,46.0,627.0,552.0,1.13587
GCpcvk,8,14,43.0,633.0,559.0,1.132379
GCpcvo,8,13,47.0,646.0,564.0,1.14539
GCpcvs,8,14,45.0,663.0,585.0,1.133333
GCpcvw,8,14,44.0,645.0,572.0,1.127622
GCpcv{,8,15,41.0,646.0,574.0,1.125436
GCpdQk,8,12,46.0,588.0,506.0,1.162055
GCpdQs,8,12,47.0,607.0,517.0,1.174081
GCpdQ{,8,13,45.0,616.0,540.0,1.140741
GCpdRS,8,12,50.0,609.0,550.0,1.107273
GCpdRW,8,12,50.0,612.0,550.0,1.112727
GCpdR[,8,13,49.0,641.0,588.0,1.090136
GCpdRg,8,12,45.0,589.0,495.0,1.189899
GCpdRo,8,12,46.0,587.0,506.0,1.160079
GCpdRs,8,13,45.0,615.0,540.0,1.138889
GCpdRw,8,13,44.0,605.0,528.0,1.145833
GCpdR{,8,14,43.0,629.0,559.0,1.125224
GCpdSs,8,12,50.0,646.0,550.0,1.174545
GCpdS{,8,13,45.0,618.0,540.0,1.144444
GCpdU[,8,13,46.0,611.0,552.0,1.106884
GCpdUg,8,12,45.0,583.0,495.0,1.177778
GCpdUk,8,13,44.0,604.0,528.0,1.143939
GCpdUs,8,13,46.0,638.0,552.0,1.155797
GCpdUw,8,13,44.0,609.0,528.0,1.153409
GCpdU{,8,14,43.0,630.0,559.0,1.127013
GCpdVS,8,13,48.0,628.0,576.0,1.090278
GCpdVW,8,13,46.0,606.0,552.0,1.097826
GCpdV[,8,14,45.0,634.0,585.0,1.083761
GCpdVg,8,13,43.0,594.0,516.0,1.151163
GCpdVo,8,13,45.0,615.0,540.0,1.138889
GCpdVs,8,14,44.0,641.0,572.0,1.120629
GCpdVw,8,14,42.0,617.0,546.0,1.130037
GCpdV{,8,15,41.0,638.0,574.0,1.111498
GCpdag,8,11,48.0,581.0,480.0,1.210417
GCpdao,8,11,50.0,600.0,500.0,1.2
GCpdbW,8,12,49.0,632.0,539.0,1.172542
GCpdbg,8,12,47.0,604.0,517.0,1.168279
GCpdbo,8,12,47.0,598.0,517.0,1.156673
GCpdbw,8,13,45.0,615.0,540.0,1.138889
GCpdcw,8,12,47.0,603.0,517.0,1.166344
GCpddS,8,12,48.0,620.0,528.0,1.174242
GCpddW,8,12,47.0,600.0,517.0,1.160542
GCpddc,8,12,50.0,656.0,550.0,1.192727
GCpddg,8,12,47.0,606.0,517.0,1.172147
GCpddo,8,12,48.0,617.0,528.0,1.168561
GCpdds,8,13,47.0,648.0,564.0,1.148936
GCpddw,8,13,45.0,615.0,540.0,1.138889
GCpdeW,8,12,48.0,615.0,528.0,1.164773
GCpdeg,8,12,46.0,594.0,506.0,1.173913
GCpdek,8,13,44.0,609.0,528.0,1.153409
GCpdeo,8,12,49.0,633.0,539.0,1.174397
GCpdes,8,13,46.0,638.0,552.0,1.155797
GCpdew,8,13,45.0,621.0,540.0,1.15
GCpdfK,8,13,46.0,626.0,552.0,1.134058
GCpdfS,8,13,46.0,628.0,552.0,1.137681
GCpdfW,8,13,46.0,627.0,552.0,1.13587
GCpdf[,8,14,44.0,640.0,572.0,1.118881
GCpdfc,8,13,46.0,630.0,552.0,1.141304
GCpdfg,8,13,45.0,616.0,540.0,1.140741
GCpdfk,8,14,43.0,632.0,559.0,1.13059
GCpdfo,8,13,46.0,627.0,552.0,1.13587
GCpdfs,8,14,44.0,642.0,572.0,1.122378
GCpdfw,8,14,43.0,629.0,559.0,1.125224
GCpdf{,8,15,41.0,640.0,574.0,1.114983
GCpdjo,8,13,43.0,594.0,516.0,1.151163
GCpdjs,8,14,42.0,618.0,546.0,1.131868
GCpdlg,8,13,45.0,622.0,540.0,1.151852
GCpdlk,8,14,44.0,654.0,572.0,1.143357
GCpdnW,8,14,43.0,630.0,559.0,1.127013
GCpdn[,8,15,42.0,653.0,588.0,1.110544
GCpdng,8,14,43.0,628.0,559.0,1.123435
GCpdnk,8,15,42.0,655.0,588.0,1.113946
GCpdno,8,14,42.0,618.0,546.0,1.131868
GCpdns,8,15,41.0,641.0,574.0,1.116725
GCpdnw,8,15,41.0,638.0,574.0,1.111498
GCpdn{,8,16,40.0,660.0,600.0,1.1
GCpdrg,8,13,44.0,609.0,528.0,1.153409
GCpdrk,8,14,43.0,629.0,559.0,1.125224
GCpdro,8,13,45.0,615.0,540.0,1.138889
GCpdrs,8,14,44.0,642.0,572.0,1.122378
GCpdrw,8,14,43.0,630.0,559.0,1.127013
GCpdr{,8,15,42.0,653.0,588.0,1.110544
GCpdtg,8,13,44.0,610.0,528.0,1.155303
GCpdtk,8,14,43.0,636.0,559.0,1.137746
GCpdto,8,13,46.0,636.0,552.0,1.152174
GCpdts,8,14,45.0,667.0,585.0,1.140171
GCpdtw,8,14,43.0,631.0,559.0,1.128801
GCpdt{,8,15,42.0,657.0,588.0,1.117347
GCpduw,8,14,42.0,626.0,546.0,1.14652
GCpdu{,8,15,41.0,646.0,574.0,1.125436
GCpdvW,8,14,44.0,641.0,572.0,1.120629
GCpdv[,8,15,43.0,664.0,602.0,1.10299
GCpdvg,8,14,42.0,618.0,546.0,1.131868
GCpdvk,8,15,41.0,641.0,574.0,1.116725
GCpdvo,8,14,44.0,642.0,572.0,1.122378
GCpdvs,8,15,43.0,668.0,602.0,1.109635
GCpdvw,8,15,41.0,641.0,574.0,1.116725
GCpdv{,8,16,40.0,662.0,600.0,1.103333
GCpeZo,8,13,45.0,616.0,540.0,1.140741
GCpeZs,8,14,44.0,644.0,572.0,1.125874
GCpe\g,8,13,45.0,616.0,540.0,1.140741
GCpe\k,8,14,44.0,640.0,572.0,1.118881
GCpe\o,8,13,45.0,621.0,540.0,1.15
GCpe\s,8,14,44.0,643.0,572.0,1.124126
GCpe][,8,14,48.0,656.0,624.0,1.051282
GCpe^W,8,14,45.0,638.0,585.0,1.090598
GCpe^[,8,15,44.0,667.0,616.0,1.082792
GCpe^g,8,14,43.0,630.0,559.0,1.127013
GCpe^k,8,15,42.0,655.0,588.0,1.113946
GCpe^o,8,14,43.0,633.0,559.0,1.132379
GCpe^s,8,15,42.0,658.0,588.0,1.119048
GCpe^w,8,15,41.0,644.0,574.0,1.121951
GCpe^{,8,16,40.0,666.0,600.0,1.11
GCpejg,8,13,45.0,616.0,540.0,1.140741
GCpejk,8,14,44.0,643.0,572.0,1.124126
GCpejo,8,13,44.0,601.0,528.0,1.138258
GCpejs,8,14,43.0,629.0,559.0,1.125224
GCpejw,8,14,43.0,626.0,559.0,1.119857
GCpej{,8,15,42.0,652.0,588.0,1.108844
GCpelW,8,13,44.0,602.0,528.0,1.140152
GCpel[,8,14,43.0,629.0,559.0,1.125224
GCpelk,8,14,43.0,632.0,559.0,1.13059
GCpelo,8,13,43.0,599.0,516.0,1.160853
GCpels,8,14,42.0,621.0,546.0,1.137363
GCpelw,8,14,42.0,615.0,546.0,1.126374
GCpel{,8,15,41.0,641.0,574.0,1.116725
GCpem[,8,14,45.0,638.0,585.0,1.090598
GCpemk,8,14,45.0,638.0,585.0,1.090598
GCpemw,8,14,45.0,630.0,585.0,1.076923
GCpem{,8,15,44.0,661.0,616.0,1.073052
GCpenW,8,14,43.0,630.0,559.0,1.127013
GCpen[,8,15,42.0,655.0,588.0,1.113946
GCpeng,8,14,43.0,628.0,559.0,1.123435
GCpenk,8,15,42.0,655.0,588.0,1.113946
GCpeno,8,14,42.0,618.0,546.0,1.131868
GCpens,8,15,41.0,644.0,574.0,1.121951
GCpenw,8,15,41.0,638.0,574.0,1.111498
GCpen{,8,16,40.0,662.0,600.0,1.103333
GCperW,8,13,50.0,677.0,600.0,1.128333
GCper[,8,14,46.0,671.0,598.0,1.122074
GCperg,8,13,47.0,642.0,564.0,1.138298
GCperk,8,14,45.0,653.0,585.0,1.116239
GCpero,8,13,47.0,641.0,564.0,1.136525
GCpers,8,14,45.0,660.0,585.0,1.128205
GCperw,8,14,45.0,655.0,585.0,1.119658
GCper{,8,15,43.0,669.0,602.0,1.111296
GCpetW,8,13,46.0,629.0,552.0,1.139493
GCpet[,8,14,44.0,644.0,572.0,1.125874
GCpetg,8,13,45.0,621.0,540.0,1.15
GCpetk,8,14,43.0,633.0,559.0,1.132379
GCpeto,8,13,46.0,638.0,552.0,1.155797
GCpets,8,14,44.0,656.0,572.0,1.146853
GCpetw,8,14,43.0,633.0,559.0,1.132379
GCpet{,8,15,41.0,647.0,574.0,1.127178
GCpeuW,8,13,49.0,645.0,588.0,1.096939
GCpeu[,8,14,48.0,675.0,624.0,1.081731
GCpeug,8,13,47.0,624.0,564.0,1.106383
GCpeuk,8,14,46.0,654.0,598.0,1.093645
GCpeuo,8,13,52.0,641.0,624.0,1.027244
GCpeus,8,14,51.0,680.0,663.0,1.025641
GCpeuw,8,14,46.0,654.0,598.0,1.093645
GCpeu{,8,15,45.0,682.0,630.0,1.08254
GCpevW,8,14,45.0,659.0,585.0,1.126496
GCpev[,8,15,43.0,671.0,602.0,1.114618
GCpevg,8,14,44.0,642.0,572.0,1.122378
GCpevk,8,15,42.0,657.0,588.0,1.117347
GCpevo,8,14,45.0,660.0,585.0,1.128205
GCpevs,8,15,43.0,677.0,602.0,1.124585
GCpevw,8,15,42.0,657.0,588.0,1.117347
GCpev{,8,16,40.0,668.0,600.0,1.113333
GCpfJW,8,13,47.0,626.0,564.0,1.109929
GCpfJ[,8,14,46.0,656.0,598.0,1.09699
GCpfJg,8,13,44.0,612.0,528.0,1.159091
GCpfJk,8,14,43.0,637.0,559.0,1.139535
GCpfJo,8,13,44.0,604.0,528.0,1.143939
GCpfJs,8,14,43.0,632.0,559.0,1.13059
GCpfJw,8,14,42.0,620.0,546.0,1.135531
GCpfJ{,8,15,41.0,646.0,574.0,1.125436
GCpfKw,8,13,46.0,622.0,552.0,1.126812
GCpfK{,8,14,45.0,649.0,585.0,1.109402
GCpfLW,8,13,46.0,602.0,552.0,1.09058
GCpfL[,8,14,45.0,633.0,585.0,1.082051
GCpfLk,8,14,44.0,643.0,572.0,1.124126
GCpfLo,8,13,45.0,615.0,540.0,1.138889
GCpfLs,8,14,44.0,639.0,572.0,1.117133
GCpfLw,8,14,43.0,626.0,559.0,1.119857
GCpfL{,8,15,42.0,652.0,588.0,1.108844
GCpfM[,8,14,46.0,648.0,598.0,1.083612
GCpfMk,8,14,44.0,642.0,572.0,1.122378
GCpfMo,8,13,47.0,641.0,564.0,1.136525
GCpfMs,8,14,45.0,655.0,585.0,1.119658
GCpfMw,8,14,44.0,641.0,572.0,1.120629
GCpfM{,8,15,43.0,666.0,602.0,1.106312
GCpfNK,8,14,46.0,649.0,598.0,1.085284
GCpfNW,8,14,45.0,634.0,585.0,1.083761
GCpfN[,8,15,44.0,663.0,616.0,1.076299
GCpfNg,8,14,43.0,631.0,559.0,1.128801
GCpfNk,8,15,42.0,657.0,588.0,1.117347
GCpfNo,8,14,43.0,630.0,559.0,1.127013
GCpfNs,8,15,42.0,655.0,588.0,1.113946
GCpfNw,8,15,41.0,641.0,574.0,1.116725
GCpfN{,8,16,40.0,664.0,600.0,1.106667
GCpfQw,8,13,45.0,616.0,540.0,1.140741
GCpfQ{,8,14,44.0,644.0,572.0,1.125874
GCpfRW,8,13,49.0,642.0,588.0,1.091837
GCpfR[,8,14,48.0,673.0,624.0,1.078526
GCpfRg,8,13,44.0,611.0,528.0,1.157197
GCpfRk,8,14,43.0,633.0,559.0,1.132379
GCpfRo,8,13,45.0,615.0,540.0,1.138889
GCpfRs,8,14,44.0,643.0,572.0,1.124126
GCpfRw,8,14,43.0,630.0,559.0,1.127013
GCpfR{,8,15,42.0,656.0,588.0,1.115646
GCpfSw,8,13,45.0,615.0,540.0,1.138889
GCpfS{,8,14,44.0,643.0,572.0,1.124126
GCpfTW,8,13,46.0,603.0,552.0,1.092391
GCpfT[,8,14,45.0,635.0,585.0,1.08547
GCpfTg,8,13,44.0,605.0,528.0,1.145833
GCpfTk,8,14,43.0,629.0,559.0,1.125224
GCpfTo,8,13,46.0,628.0,552.0,1.137681
GCpfTs,8,14,45.0,655.0,585.0,1.119658
GCpfTw,8,14,43.0,626.0,559.0,1.119857
GCpfT{,8,15,42.0,652.0,588.0,1.108844
GCpfUW,8,13,46.0,611.0,552.0,1.106884
