g6,n,m,W,sum_cards_W,naive_(m-1)W,ratio
ECZ_,6,6,29.0,157.0,145.0,1.082759
ECZg,6,7,26.0,163.0,156.0,1.044872
ECZo,6,7,25.0,200.0,150.0,1.333333
ECZw,6,8,22.0,196.0,154.0,1.272727
ECd_,6,5,7.0,32.0,28.0,1.142857
ECeW,6,6,6.0,42.0,30.0,1.4
ECfW,6,7,13.0,93.0,78.0,1.192308
ECf_,6,6,28.0,134.0,140.0,0.957143
ECfo,6,7,25.0,164.0,150.0,1.093333
ECfw,6,8,22.0,170.0,154.0,1.103896
ECpO,6,5,15.0,100.0,60.0,1.666667
ECp_,6,5,35.0,70.0,140.0,0.5
ECpo,6,6,26.0,180.0,130.0,1.384615
ECqg,6,6,27.0,141.0,135.0,1.044444
ECqo,6,6,29.0,140.0,145.0,0.965517
ECrG,6,6,15.0,89.0,75.0,1.186667
ECrO,6,6,14.0,97.0,70.0,1.385714
ECrW,6,7,13.0,100.0,78.0,1.282051
ECr_,6,6,27.0,158.0,135.0,1.17037
ECrg,6,7,25.0,165.0,150.0,1.1
ECro,6,7,24.0,175.0,144.0,1.215278
ECrw,6,8,22.0,180.0,154.0,1.168831
ECuo,6,7,27.0,174.0,162.0,1.074074
ECuw,6,8,23.0,177.0,161.0,1.099379
ECvO,6,7,13.0,100.0,78.0,1.282051
ECvW,6,8,12.0,104.0,84.0,1.238095
ECvo,6,8,23.0,187.0,161.0,1.161491
ECvw,6,9,21.0,192.0,168.0,1.142857
ECxo,6,7,23.0,190.0,138.0,1.376812
ECxw,6,8,22.0,195.0,154.0,1.266234
ECzO,6,7,25.0,183.0,150.0,1.22
ECzW,6,8,23.0,186.0,161.0,1.15528
ECz_,6,7,25.0,180.0,150.0,1.2
ECzg,6,8,24.0,190.0,168.0,1.130952
ECzo,6,8,22.0,195.0,154.0,1.266234
ECzw,6,9,21.0,202.0,168.0,1.202381
EC~o,6,9,21.0,202.0,168.0,1.202381
EC~w,6,10,20.0,210.0,180.0,1.166667
EEh_,6,6,27.0,210.0,135.0,1.555556
EEho,6,7,24.0,199.0,144.0,1.381944
EEhw,6,8,22.0,196.0,154.0,1.272727
EEjO,6,7,28.0,172.0,168.0,1.02381
EEjW,6,8,24.0,194.0,168.0,1.154762
EEj_,6,7,25.0,197.0,150.0,1.313333
EEjo,6,8,23.0,202.0,161.0,1.254658
EEjw,6,9,21.0,204.0,168.0,1.214286
EElw,6,9,21.0,204.0,168.0,1.214286
EEnw,6,10,20.0,212.0,180.0,1.177778
EEqo,6,7,25.0,183.0,150.0,1.22
EErW,6,8,12.0,104.0,84.0,1.238095
EEro,6,8,23.0,186.0,161.0,1.15528
EErw,6,9,21.0,192.0,168.0,1.142857
EEuw,6,9,22.0,199.0,176.0,1.130682
EEvW,6,9,11.0,108.0,88.0,1.227273
EEvw,6,10,20.0,204.0,180.0,1.133333
EEyo,6,8,22.0,195.0,154.0,1.266234
EEyw,6,9,21.0,204.0,168.0,1.214286
EEzO,6,8,24.0,194.0,168.0,1.154762
EEzW,6,9,22.0,199.0,176.0,1.130682
EEz_,6,8,23.0,200.0,161.0,1.242236
EEzg,6,9,22.0,209.0,176.0,1.1875
EEzo,6,9,21.0,204.0,168.0,1.214286
EEzw,6,10,20.0,212.0,180.0,1.177778
EE~o,6,10,20.0,212.0,180.0,1.177778
EE~w,6,11,19.0,220.0,190.0,1.157895
EFz_,6,9,21.0,207.0,168.0,1.232143
EFzo,6,10,20.0,213.0,180.0,1.183333
EFzw,6,11,19.0,220.0,190.0,1.157895
EF~w,6,12,18.0,228.0,198.0,1.151515
EQhO,6,6,6.0,42.0,30.0,1.4
EQig,6,7,7.0,54.0,42.0,1.285714
EQjO,6,7,27.0,186.0,162.0,1.148148
EQjg,6,8,25.0,182.0,175.0,1.04
EQjo,6,8,24.0,210.0,168.0,1.25
EQjw,6,9,21.0,210.0,168.0,1.25
EQyo,6,8,22.0,202.0,154.0,1.311688
EQyw,6,9,21.0,209.0,168.0,1.244048
EQzO,6,8,23.0,202.0,161.0,1.254658
EQzW,6,9,22.0,211.0,176.0,1.198864
EQzg,6,9,23.0,206.0,184.0,1.119565
EQzo,6,9,21.0,205.0,168.0,1.220238
EQzw,6,10,20.0,214.0,180.0,1.188889
EQ~o,6,10,20.0,210.0,180.0,1.166667
EQ~w,6,11,19.0,220.0,190.0,1.157895
ETmw,6,10,10.0,110.0,90.0,1.222222
ETnw,6,11,19.0,214.0,190.0,1.126316
ET~o,6,11,19.0,222.0,190.0,1.168421
ET~w,6,12,18.0,228.0,198.0,1.151515
EUZo,6,9,21.0,204.0,168.0,1.214286
EUZw,6,10,20.0,210.0,180.0,1.166667
EUuw,6,10,21.0,220.0,189.0,1.164021
EUvW,6,10,21.0,212.0,189.0,1.121693
EUvw,6,11,19.0,222.0,190.0,1.168421
EUxo,6,9,21.0,201.0,168.0,1.196429
EUzW,6,10,20.0,214.0,180.0,1.188889
EUzg,6,10,20.0,214.0,180.0,1.188889
EUzo,6,10,20.0,211.0,180.0,1.172222
EUzw,6,11,19.0,220.0,190.0,1.157895
EU~o,6,11,19.0,220.0,190.0,1.157895
EU~w,6,12,18.0,228.0,198.0,1.151515
EVzo,6,11,19.0,221.0,190.0,1.163158
EVzw,6,12,18.0,228.0,198.0,1.151515
EV~w,6,13,17.0,234.0,204.0,1.147059
E]~o,6,12,18.0,228.0,198.0,1.151515
E]~w,6,13,17.0,234.0,204.0,1.147059
E^~w,6,14,16.0,238.0,208.0,1.144231
E~~w,6,15,15.0,240.0,210.0,1.142857
F??E?,7,2,4.0,2.0,4.0,0.5
F??F?,7,3,9.0,12.0,18.0,0.666667
F??F_,7,4,16.0,36.0,48.0,0.75
F??Fo,7,5,25.0,80.0,100.0,0.8
F??Fw,7,6,36.0,150.0,180.0,0.833333
F?AA?,7,2,2.0,2.0,2.0,1.0
F?AB?,7,3,5.0,8.0,10.0,0.8
F?AB_,7,4,10.0,24.0,30.0,0.8
F?ABo,7,5,17.0,56.0,68.0,0.823529
F?ACG,7,3,3.0,12.0,6.0,2.0
