set,n_graphs,signature,target,target_desc,determined,H_target,I_signature_target,H_target_given_signature
chem_m4_n9,14592,deck:sombor_inv,so,Sombor index SO(G),True,9.611338,9.611338,0.0
chem_m4_n9,14592,deck:sombor_inv,dd,multiset {Delta_e},True,13.22393,13.22393,0.0
chem_m4_n9,14592,deck:sombor_inv,taus,number of spanning trees,False,9.676542,9.070871,0.60567
chem_m4_n9,14592,deck:sombor_inv,tri,number of triangles,False,2.685662,2.234319,0.451342
chem_m4_n9,14592,deck:sombor_inv,wiener,Wiener index,False,5.43239,5.007925,0.424465
chem_m4_n9,14592,deck:sombor_inv,n,order n,True,0.788366,0.788366,0.0
chem_m4_n9,14592,deck:sombor_inv,m,size m,True,2.965544,2.965544,0.0
chem_m4_n9,14592,deck:sombor_inv,C,Sombor deletion correction C(G),True,9.616145,9.616145,0.0
chem_m4_n9,14592,deck:randic,ds,degree sequence of G,True,6.374577,6.374577,0.0
chem_m4_n9,14592,deck:randic,ds_sig,multiset of degree sequences of the cards,True,9.616145,9.616145,0.0
chem_m4_n9,14592,deck:randic,et,multiset of edge degree-types of G,True,9.616145,9.616145,0.0
chem_m4_n9,14592,deck:randic,so,Sombor index SO(G),True,9.611338,9.611338,0.0
chem_m4_n9,14592,deck:randic,dd,multiset {Delta_e},True,13.22393,13.22393,0.0
chem_m4_n9,14592,deck:randic,taus,number of spanning trees,False,9.676542,9.070871,0.60567
chem_m4_n9,14592,deck:randic,tri,number of triangles,False,2.685662,2.234319,0.451342
chem_m4_n9,14592,deck:randic,wiener,Wiener index,False,5.43239,5.007925,0.424465
chem_m4_n9,14592,deck:randic,n,order n,True,0.788366,0.788366,0.0
chem_m4_n9,14592,deck:randic,m,size m,True,2.965544,2.965544,0.0
chem_m4_n9,14592,deck:randic,C,Sombor deletion correction C(G),True,9.616145,9.616145,0.0
chem_m4_n9,14592,deck:abc,ds,degree sequence of G,True,6.374577,6.374577,0.0
chem_m4_n9,14592,deck:abc,ds_sig,multiset of degree sequences of the cards,True,9.616145,9.616145,0.0
chem_m4_n9,14592,deck:abc,et,multiset of edge degree-types of G,True,9.616145,9.616145,0.0
chem_m4_n9,14592,deck:abc,so,Sombor index SO(G),True,9.611338,9.611338,0.0
chem_m4_n9,14592,deck:abc,dd,multiset {Delta_e},False,13.22393,13.22309,0.000841
chem_m4_n9,14592,deck:abc,taus,number of spanning trees,False,9.676542,9.070031,0.606511
chem_m4_n9,14592,deck:abc,tri,number of triangles,False,2.685662,2.234319,0.451342
chem_m4_n9,14592,deck:abc,wiener,Wiener index,False,5.43239,5.007084,0.425306
chem_m4_n9,14592,deck:abc,n,order n,True,0.788366,0.788366,0.0
chem_m4_n9,14592,deck:abc,m,size m,True,2.965544,2.965544,0.0
chem_m4_n9,14592,deck:abc,C,Sombor deletion correction C(G),True,9.616145,9.616145,0.0
chem_m4_n9,14592,deck:m1,ds,degree sequence of G,False,6.374577,6.252548,0.122029
chem_m4_n9,14592,deck:m1,ds_sig,multiset of degree sequences of the cards,False,9.616145,9.418399,0.197746
chem_m4_n9,14592,deck:m1,et,multiset of edge degree-types of G,False,9.616145,9.418399,0.197746
chem_m4_n9,14592,deck:m1,so,Sombor index SO(G),False,9.611338,9.413592,0.197746
chem_m4_n9,14592,deck:m1,dd,multiset {Delta_e},False,13.22393,9.418399,3.805531
chem_m4_n9,14592,deck:m1,taus,number of spanning trees,False,9.676542,5.676786,3.999755
chem_m4_n9,14592,deck:m1,tri,number of triangles,False,2.685662,0.855944,1.829718
chem_m4_n9,14592,deck:m1,wiener,Wiener index,False,5.43239,2.981378,2.451012
chem_m4_n9,14592,deck:m1,n,order n,False,0.788366,0.729738,0.058628
chem_m4_n9,14592,deck:m1,m,size m,True,2.965544,2.965544,0.0
chem_m4_n9,14592,deck:m1,C,Sombor deletion correction C(G),False,9.616145,9.418399,0.197746
chem_m4_n9,14592,deck:m2,ds,degree sequence of G,True,6.374577,6.374577,0.0
chem_m4_n9,14592,deck:m2,ds_sig,multiset of degree sequences of the cards,True,9.616145,9.616145,0.0
chem_m4_n9,14592,deck:m2,et,multiset of edge degree-types of G,True,9.616145,9.616145,0.0
chem_m4_n9,14592,deck:m2,so,Sombor index SO(G),True,9.611338,9.611338,0.0
chem_m4_n9,14592,deck:m2,dd,multiset {Delta_e},False,13.22393,13.150181,0.073749
chem_m4_n9,14592,deck:m2,taus,number of spanning trees,False,9.676542,8.997259,0.679282
chem_m4_n9,14592,deck:m2,tri,number of triangles,False,2.685662,2.175625,0.510036
chem_m4_n9,14592,deck:m2,wiener,Wiener index,False,5.43239,4.94964,0.482751
chem_m4_n9,14592,deck:m2,n,order n,True,0.788366,0.788366,0.0
chem_m4_n9,14592,deck:m2,m,size m,True,2.965544,2.965544,0.0
chem_m4_n9,14592,deck:m2,C,Sombor deletion correction C(G),True,9.616145,9.616145,0.0
chem_m4_n9,14592,deck:wiener,ds,degree sequence of G,False,6.374577,6.322779,0.051798
chem_m4_n9,14592,deck:wiener,ds_sig,multiset of degree sequences of the cards,False,9.616145,9.534897,0.081248
chem_m4_n9,14592,deck:wiener,et,multiset of edge degree-types of G,False,9.616145,9.534897,0.081248
chem_m4_n9,14592,deck:wiener,so,Sombor index SO(G),False,9.611338,9.53009,0.081248
chem_m4_n9,14592,deck:wiener,dd,multiset {Delta_e},False,13.22393,13.12111,0.102821
chem_m4_n9,14592,deck:wiener,taus,number of spanning trees,False,9.676542,9.577422,0.09912
chem_m4_n9,14592,deck:wiener,tri,number of triangles,False,2.685662,2.627023,0.058639
chem_m4_n9,14592,deck:wiener,wiener,Wiener index,False,5.43239,5.432253,0.000137
chem_m4_n9,14592,deck:wiener,n,order n,True,0.788366,0.788366,0.0
chem_m4_n9,14592,deck:wiener,m,size m,True,2.965544,2.965544,0.0
chem_m4_n9,14592,deck:wiener,C,Sombor deletion correction C(G),False,9.616145,9.534897,0.081248
chem_m4_n9,14592,deck:adj_spec,ds,degree sequence of G,True,6.374577,6.374577,0.0
chem_m4_n9,14592,deck:adj_spec,ds_sig,multiset of degree sequences of the cards,True,9.616145,9.616145,0.0
chem_m4_n9,14592,deck:adj_spec,et,multiset of edge degree-types of G,True,9.616145,9.616145,0.0
chem_m4_n9,14592,deck:adj_spec,so,Sombor index SO(G),True,9.611338,9.611338,0.0
chem_m4_n9,14592,deck:adj_spec,dd,multiset {Delta_e},True,13.22393,13.22393,0.0
chem_m4_n9,14592,deck:adj_spec,taus,number of spanning trees,True,9.676542,9.676542,0.0
chem_m4_n9,14592,deck:adj_spec,tri,number of triangles,True,2.685662,2.685662,0.0
chem_m4_n9,14592,deck:adj_spec,wiener,Wiener index,True,5.43239,5.43239,0.0
chem_m4_n9,14592,deck:adj_spec,n,order n,True,0.788366,0.788366,0.0
chem_m4_n9,14592,deck:adj_spec,m,size m,True,2.965544,2.965544,0.0
chem_m4_n9,14592,deck:adj_spec,C,Sombor deletion correction C(G),True,9.616145,9.616145,0.0
chem_m4_n9,14592,deck:lap_spec,ds,degree sequence of G,True,6.374577,6.374577,0.0
chem_m4_n9,14592,deck:lap_spec,ds_sig,multiset of degree sequences of the cards,True,9.616145,9.616145,0.0
chem_m4_n9,14592,deck:lap_spec,et,multiset of edge degree-types of G,True,9.616145,9.616145,0.0
