set,n_graphs,signature,target,target_desc,determined,H_target,I_signature_target,H_target_given_signature
chem_n9,14598,deck:taus,taus,number of spanning trees,True,9.675644,9.675644,0.0
chem_n9,14598,deck:taus,tri,number of triangles,False,2.68594,2.683686,0.002254
chem_n9,14598,deck:taus,wiener,Wiener index,False,5.436299,4.136435,1.299864
chem_n9,14598,deck:taus,n,order n,True,0.793669,0.793669,0.0
chem_n9,14598,deck:taus,m,size m,True,2.970278,2.970278,0.0
chem_n9,14598,deck:taus,C,Sombor deletion correction C(G),False,9.618334,7.911362,1.706972
chem_n9,14598,deck:sombor,ds,degree sequence of G,False,6.378235,6.378098,0.000137
chem_n9,14598,deck:sombor,ds_sig,multiset of degree sequences of the cards,False,9.618471,9.618334,0.000137
chem_n9,14598,deck:sombor,et,multiset of edge degree-types of G,False,9.618471,9.618334,0.000137
chem_n9,14598,deck:sombor,so,Sombor index SO(G),False,9.613666,9.613529,0.000137
chem_n9,14598,deck:sombor,dd,multiset {Delta_e},False,13.224774,13.224637,0.000137
chem_n9,14598,deck:sombor,taus,number of spanning trees,False,9.675644,9.070086,0.605558
chem_n9,14598,deck:sombor,tri,number of triangles,False,2.68594,2.234646,0.451294
chem_n9,14598,deck:sombor,wiener,Wiener index,False,5.436299,5.011871,0.424428
chem_n9,14598,deck:sombor,n,order n,False,0.793669,0.793532,0.000137
chem_n9,14598,deck:sombor,m,size m,True,2.970278,2.970278,0.0
chem_n9,14598,deck:sombor,C,Sombor deletion correction C(G),False,9.618334,9.618197,0.000137
chem_n9,14598,deck:sombor_inv,ds,degree sequence of G,False,6.378235,6.378098,0.000137
chem_n9,14598,deck:sombor_inv,ds_sig,multiset of degree sequences of the cards,False,9.618471,9.618334,0.000137
chem_n9,14598,deck:sombor_inv,et,multiset of edge degree-types of G,False,9.618471,9.618334,0.000137
chem_n9,14598,deck:sombor_inv,so,Sombor index SO(G),False,9.613666,9.613529,0.000137
chem_n9,14598,deck:sombor_inv,dd,multiset {Delta_e},False,13.224774,13.224637,0.000137
chem_n9,14598,deck:sombor_inv,taus,number of spanning trees,False,9.675644,9.070086,0.605558
chem_n9,14598,deck:sombor_inv,tri,number of triangles,False,2.68594,2.234646,0.451294
chem_n9,14598,deck:sombor_inv,wiener,Wiener index,False,5.436299,5.011871,0.424428
chem_n9,14598,deck:sombor_inv,n,order n,False,0.793669,0.793532,0.000137
chem_n9,14598,deck:sombor_inv,m,size m,True,2.970278,2.970278,0.0
chem_n9,14598,deck:sombor_inv,C,Sombor deletion correction C(G),False,9.618334,9.618197,0.000137
chem_n9,14598,deck:randic,ds,degree sequence of G,False,6.378235,6.378098,0.000137
chem_n9,14598,deck:randic,ds_sig,multiset of degree sequences of the cards,False,9.618471,9.618334,0.000137
chem_n9,14598,deck:randic,et,multiset of edge degree-types of G,False,9.618471,9.618334,0.000137
chem_n9,14598,deck:randic,so,Sombor index SO(G),False,9.613666,9.613529,0.000137
chem_n9,14598,deck:randic,dd,multiset {Delta_e},False,13.224774,13.224637,0.000137
chem_n9,14598,deck:randic,taus,number of spanning trees,False,9.675644,9.070086,0.605558
chem_n9,14598,deck:randic,tri,number of triangles,False,2.68594,2.234646,0.451294
chem_n9,14598,deck:randic,wiener,Wiener index,False,5.436299,5.011871,0.424428
chem_n9,14598,deck:randic,n,order n,False,0.793669,0.793532,0.000137
chem_n9,14598,deck:randic,m,size m,True,2.970278,2.970278,0.0
chem_n9,14598,deck:randic,C,Sombor deletion correction C(G),False,9.618334,9.618197,0.000137
chem_n9,14598,deck:abc,ds,degree sequence of G,False,6.378235,6.378098,0.000137
chem_n9,14598,deck:abc,ds_sig,multiset of degree sequences of the cards,False,9.618471,9.618334,0.000137
chem_n9,14598,deck:abc,et,multiset of edge degree-types of G,False,9.618471,9.618334,0.000137
chem_n9,14598,deck:abc,so,Sombor index SO(G),False,9.613666,9.613529,0.000137
chem_n9,14598,deck:abc,dd,multiset {Delta_e},False,13.224774,13.223797,0.000977
chem_n9,14598,deck:abc,taus,number of spanning trees,False,9.675644,9.069246,0.606398
chem_n9,14598,deck:abc,tri,number of triangles,False,2.68594,2.234646,0.451294
chem_n9,14598,deck:abc,wiener,Wiener index,False,5.436299,5.011031,0.425268
chem_n9,14598,deck:abc,n,order n,False,0.793669,0.793532,0.000137
chem_n9,14598,deck:abc,m,size m,True,2.970278,2.970278,0.0
chem_n9,14598,deck:abc,C,Sombor deletion correction C(G),False,9.618334,9.618197,0.000137
chem_n9,14598,deck:m1,ds,degree sequence of G,False,6.378235,6.25612,0.122116
chem_n9,14598,deck:m1,ds_sig,multiset of degree sequences of the cards,False,9.618471,9.420669,0.197802
chem_n9,14598,deck:m1,et,multiset of edge degree-types of G,False,9.618471,9.420669,0.197802
chem_n9,14598,deck:m1,so,Sombor index SO(G),False,9.613666,9.415865,0.197802
chem_n9,14598,deck:m1,dd,multiset {Delta_e},False,13.224774,9.420669,3.804104
chem_n9,14598,deck:m1,taus,number of spanning trees,False,9.675644,5.677396,3.998248
chem_n9,14598,deck:m1,tri,number of triangles,False,2.68594,0.856837,1.829103
chem_n9,14598,deck:m1,wiener,Wiener index,False,5.436299,2.986157,2.450142
chem_n9,14598,deck:m1,n,order n,False,0.793669,0.734928,0.058741
chem_n9,14598,deck:m1,m,size m,True,2.970278,2.970278,0.0
chem_n9,14598,deck:m1,C,Sombor deletion correction C(G),False,9.618334,9.420532,0.197802
chem_n9,14598,deck:m2,ds,degree sequence of G,False,6.378235,6.378098,0.000137
chem_n9,14598,deck:m2,ds_sig,multiset of degree sequences of the cards,False,9.618471,9.618334,0.000137
chem_n9,14598,deck:m2,et,multiset of edge degree-types of G,False,9.618471,9.618334,0.000137
chem_n9,14598,deck:m2,so,Sombor index SO(G),False,9.613666,9.613529,0.000137
chem_n9,14598,deck:m2,dd,multiset {Delta_e},False,13.224774,13.150918,0.073856
chem_n9,14598,deck:m2,taus,number of spanning trees,False,9.675644,8.996504,0.67914
chem_n9,14598,deck:m2,tri,number of triangles,False,2.68594,2.175976,0.509964
chem_n9,14598,deck:m2,wiener,Wiener index,False,5.436299,4.95361,0.482689
chem_n9,14598,deck:m2,n,order n,False,0.793669,0.793532,0.000137
chem_n9,14598,deck:m2,m,size m,True,2.970278,2.970278,0.0
chem_n9,14598,deck:m2,C,Sombor deletion correction C(G),False,9.618334,9.618197,0.000137
chem_n9,14598,deck:wiener,ds,degree sequence of G,False,6.378235,6.326322,0.051914
chem_n9,14598,deck:wiener,ds_sig,multiset of degree sequences of the cards,False,9.618471,9.53712,0.081351
chem_n9,14598,deck:wiener,et,multiset of edge degree-types of G,False,9.618471,9.53712,0.081351
chem_n9,14598,deck:wiener,so,Sombor index SO(G),False,9.613666,9.532315,0.081351
chem_n9,14598,deck:wiener,dd,multiset {Delta_e},False,13.224774,13.121858,0.102916
chem_n9,14598,deck:wiener,taus,number of spanning trees,False,9.675644,9.576428,0.099216
chem_n9,14598,deck:wiener,tri,number of triangles,False,2.68594,2.627188,0.058751
chem_n9,14598,deck:wiener,wiener,Wiener index,False,5.436299,5.436025,0.000274
chem_n9,14598,deck:wiener,n,order n,False,0.793669,0.793532,0.000137
chem_n9,14598,deck:wiener,m,size m,True,2.970278,2.970278,0.0
chem_n9,14598,deck:wiener,C,Sombor deletion correction C(G),False,9.618334,9.536983,0.081351
chem_n9,14598,deck:adj_spec,ds,degree sequence of G,True,6.378235,6.378235,0.0
chem_n9,14598,deck:adj_spec,ds_sig,multiset of degree sequences of the cards,True,9.618471,9.618471,0.0
chem_n9,14598,deck:adj_spec,et,multiset of edge degree-types of G,True,9.618471,9.618471,0.0
chem_n9,14598,deck:adj_spec,so,Sombor index SO(G),True,9.613666,9.613666,0.0
chem_n9,14598,deck:adj_spec,dd,multiset {Delta_e},True,13.224774,13.224774,0.0
chem_n9,14598,deck:adj_spec,taus,number of spanning trees,True,9.675644,9.675644,0.0
chem_n9,14598,deck:adj_spec,tri,number of triangles,True,2.68594,2.68594,0.0
chem_n9,14598,deck:adj_spec,wiener,Wiener index,True,5.436299,5.436299,0.0
chem_n9,14598,deck:adj_spec,n,order n,True,0.793669,0.793669,0.0
chem_n9,14598,deck:adj_spec,m,size m,True,2.970278,2.970278,0.0
chem_n9,14598,deck:adj_spec,C,Sombor deletion correction C(G),True,9.618334,9.618334,0.0
chem_n9,14598,deck:lap_spec,ds,degree sequence of G,True,6.378235,6.378235,0.0
chem_n9,14598,deck:lap_spec,ds_sig,multiset of degree sequences of the cards,True,9.618471,9.618471,0.0
chem_n9,14598,deck:lap_spec,et,multiset of edge degree-types of G,True,9.618471,9.618471,0.0
chem_n9,14598,deck:lap_spec,so,Sombor index SO(G),True,9.613666,9.613666,0.0
chem_n9,14598,deck:lap_spec,dd,multiset {Delta_e},True,13.224774,13.224774,0.0
chem_n9,14598,deck:lap_spec,taus,number of spanning trees,True,9.675644,9.675644,0.0
chem_n9,14598,deck:lap_spec,tri,number of triangles,True,2.68594,2.68594,0.0
chem_n9,14598,deck:lap_spec,wiener,Wiener index,True,5.436299,5.436299,0.0
chem_n9,14598,deck:lap_spec,n,order n,True,0.793669,0.793669,0.0
chem_n9,14598,deck:lap_spec,m,size m,True,2.970278,2.970278,0.0
chem_n9,14598,deck:lap_spec,C,Sombor deletion correction C(G),True,9.618334,9.618334,0.0
chem_n9,14598,deck:q_spec,ds,degree sequence of G,True,6.378235,6.378235,0.0
chem_n9,14598,deck:q_spec,ds_sig,multiset of degree sequences of the cards,True,9.618471,9.618471,0.0
chem_n9,14598,deck:q_spec,et,multiset of edge degree-types of G,True,9.618471,9.618471,0.0
chem_n9,14598,deck:q_spec,so,Sombor index SO(G),True,9.613666,9.613666,0.0
chem_n9,14598,deck:q_spec,dd,multiset {Delta_e},True,13.224774,13.224774,0.0
chem_n9,14598,deck:q_spec,taus,number of spanning trees,True,9.675644,9.675644,0.0
chem_n9,14598,deck:q_spec,tri,number of triangles,True,2.68594,2.68594,0.0
chem_n9,14598,deck:q_spec,wiener,Wiener index,True,5.436299,5.436299,0.0
chem_n9,14598,deck:q_spec,n,order n,True,0.793669,0.793669,0.0
chem_n9,14598,deck:q_spec,m,size m,True,2.970278,2.970278,0.0
chem_n9,14598,deck:q_spec,C,Sombor deletion correction C(G),True,9.618334,9.618334,0.0
chem_n9,14598,deck:adj_charpoly,ds,degree sequence of G,True,6.378235,6.378235,0.0
chem_n9,14598,deck:adj_charpoly,ds_sig,multiset of degree sequences of the cards,True,9.618471,9.618471,0.0
chem_n9,14598,deck:adj_charpoly,et,multiset of edge degree-types of G,True,9.618471,9.618471,0.0
chem_n9,14598,deck:adj_charpoly,so,Sombor index SO(G),True,9.613666,9.613666,0.0
chem_n9,14598,deck:adj_charpoly,dd,multiset {Delta_e},True,13.224774,13.224774,0.0
chem_n9,14598,deck:adj_charpoly,taus,number of spanning trees,True,9.675644,9.675644,0.0
chem_n9,14598,deck:adj_charpoly,tri,number of triangles,True,2.68594,2.68594,0.0
chem_n9,14598,deck:adj_charpoly,wiener,Wiener index,True,5.436299,5.436299,0.0
chem_n9,14598,deck:adj_charpoly,n,order n,True,0.793669,0.793669,0.0
chem_n9,14598,deck:adj_charpoly,m,size m,True,2.970278,2.970278,0.0
chem_n9,14598,deck:adj_charpoly,C,Sombor deletion correction C(G),True,9.618334,9.618334,0.0
chem_n9,14598,deck:lap_charpoly,ds,degree sequence of G,True,6.378235,6.378235,0.0
chem_n9,14598,deck:lap_charpoly,ds_sig,multiset of degree sequences of the cards,True,9.618471,9.618471,0.0
chem_n9,14598,deck:lap_charpoly,et,multiset of edge degree-types of G,True,9.618471,9.618471,0.0
chem_n9,14598,deck:lap_charpoly,so,Sombor index SO(G),True,9.613666,9.613666,0.0
chem_n9,14598,deck:lap_charpoly,dd,multiset {Delta_e},True,13.224774,13.224774,0.0
chem_n9,14598,deck:lap_charpoly,taus,number of spanning trees,True,9.675644,9.675644,0.0
chem_n9,14598,deck:lap_charpoly,tri,number of triangles,True,2.68594,2.68594,0.0
chem_n9,14598,deck:lap_charpoly,wiener,Wiener index,True,5.436299,5.436299,0.0
chem_n9,14598,deck:lap_charpoly,n,order n,True,0.793669,0.793669,0.0
chem_n9,14598,deck:lap_charpoly,m,size m,True,2.970278,2.970278,0.0
chem_n9,14598,deck:lap_charpoly,C,Sombor deletion correction C(G),True,9.618334,9.618334,0.0
chem_n9,14598,deck:energy,ds,degree sequence of G,False,6.378235,6.378098,0.000137
chem_n9,14598,deck:energy,ds_sig,multiset of degree sequences of the cards,False,9.618471,9.618334,0.000137
chem_n9,14598,deck:energy,et,multiset of edge degree-types of G,False,9.618471,9.618334,0.000137
chem_n9,14598,deck:energy,so,Sombor index SO(G),False,9.613666,9.613529,0.000137
chem_n9,14598,deck:energy,dd,multiset {Delta_e},False,13.224774,13.224637,0.000137
chem_n9,14598,deck:energy,taus,number of spanning trees,False,9.675644,9.675507,0.000137
chem_n9,14598,deck:energy,tri,number of triangles,False,2.68594,2.685803,0.000137
